  #data, #mindata: 11780 1178
 SWclr Ta-Te Avg & min10%: 36.17827459433050 30.72828201313251
  
  #data, #maxdata: 139999 13999
  SWclr Avg & max10% LW StDev: 0.9237830686580717 2.204491573107828
  
  Daylight clear-sky RH Histogram:
  BinLim        #
 4 0
 6 0
 8 0
 10 0
 12 2042
 14 1015
 16 1243
 18 1069
 20 769
 22 523
 24 696
 26 536
 28 329
 30 281
 32 266
 34 239
 36 273
 38 332
 40 309
 42 263
 44 234
 46 199
 48 204
 50 187
 52 143
 54 148
 56 115
 58 83
 60 65
 62 38
 64 23
 66 20
 68 28
 70 18
 72 15
 74 34
 76 19
 78 13
 80 6
 82 3
 84 0
 86 0
 88 0
 90 0
 92 0
 94 0
 96 0
 98 0
 100 0
 102 0
